name_name,name_url,name_rank,name_rank_url,name_Athletics,name_Athletics_url
University of North Carolina - Greensboro,https://www.niche.com/colleges/university-of-north-carolina---greensboro/,530,https://www.niche.com/colleges/university-of-north-carolina---greensboro/,B,https://www.niche.com/colleges/university-of-north-carolina---greensboro/
Fort Hays State University,https://www.niche.com/colleges/fort-hays-state-university/,531,https://www.niche.com/colleges/fort-hays-state-university/,B,https://www.niche.com/colleges/fort-hays-state-university/
Houston Baptist University,https://www.niche.com/colleges/houston-baptist-university/,532,https://www.niche.com/colleges/houston-baptist-university/,B,https://www.niche.com/colleges/houston-baptist-university/
St. Francis College,https://www.niche.com/colleges/st-francis-college/,533,https://www.niche.com/colleges/st-francis-college/,B,https://www.niche.com/colleges/st-francis-college/
University of California - San Diego,https://www.niche.com/colleges/university-of-california---san-diego/,534,https://www.niche.com/colleges/university-of-california---san-diego/,B,https://www.niche.com/colleges/university-of-california---san-diego/
University of the Cumberlands,https://www.niche.com/colleges/university-of-the-cumberlands/,535,https://www.niche.com/colleges/university-of-the-cumberlands/,B,https://www.niche.com/colleges/university-of-the-cumberlands/
Savannah State University,https://www.niche.com/colleges/savannah-state-university/,536,https://www.niche.com/colleges/savannah-state-university/,B,https://www.niche.com/colleges/savannah-state-university/
The University of Virginia's College at Wise,https://www.niche.com/colleges/the-university-of-virginias-college-at-wise/,537,https://www.niche.com/colleges/the-university-of-virginias-college-at-wise/,B,https://www.niche.com/colleges/the-university-of-virginias-college-at-wise/
Wayne State University,https://www.niche.com/colleges/wayne-state-university/,538,https://www.niche.com/colleges/wayne-state-university/,B,https://www.niche.com/colleges/wayne-state-university/
Thomas More College,https://www.niche.com/colleges/thomas-more-college/,539,https://www.niche.com/colleges/thomas-more-college/,B,https://www.niche.com/colleges/thomas-more-college/
Chadron State College,https://www.niche.com/colleges/chadron-state-college/,540,https://www.niche.com/colleges/chadron-state-college/,B,https://www.niche.com/colleges/chadron-state-college/
University of Jamestown,https://www.niche.com/colleges/university-of-jamestown/,541,https://www.niche.com/colleges/university-of-jamestown/,B,https://www.niche.com/colleges/university-of-jamestown/
Sterling College - Kansas,https://www.niche.com/colleges/sterling-college---kansas/,542,https://www.niche.com/colleges/sterling-college---kansas/,B,https://www.niche.com/colleges/sterling-college---kansas/
University of California - Riverside,https://www.niche.com/colleges/university-of-california---riverside/,543,https://www.niche.com/colleges/university-of-california---riverside/,B,https://www.niche.com/colleges/university-of-california---riverside/
Sonoma State University,https://www.niche.com/colleges/sonoma-state-university/,544,https://www.niche.com/colleges/sonoma-state-university/,B,https://www.niche.com/colleges/sonoma-state-university/
Dordt College,https://www.niche.com/colleges/dordt-college/,545,https://www.niche.com/colleges/dordt-college/,B,https://www.niche.com/colleges/dordt-college/
William Jewell College,https://www.niche.com/colleges/william-jewell-college/,546,https://www.niche.com/colleges/william-jewell-college/,B,https://www.niche.com/colleges/william-jewell-college/
University of Alabama - Huntsville,https://www.niche.com/colleges/university-of-alabama---huntsville/,547,https://www.niche.com/colleges/university-of-alabama---huntsville/,B,https://www.niche.com/colleges/university-of-alabama---huntsville/
West Virginia Wesleyan College,https://www.niche.com/colleges/west-virginia-wesleyan-college/,548,https://www.niche.com/colleges/west-virginia-wesleyan-college/,B,https://www.niche.com/colleges/west-virginia-wesleyan-college/
MidAmerica Nazarene University,https://www.niche.com/colleges/midamerica-nazarene-university/,549,https://www.niche.com/colleges/midamerica-nazarene-university/,B,https://www.niche.com/colleges/midamerica-nazarene-university/
Saint Leo University,https://www.niche.com/colleges/saint-leo-university/,550,https://www.niche.com/colleges/saint-leo-university/,B,https://www.niche.com/colleges/saint-leo-university/
